record_id,id,scientific_name,year,start_month,end_month,can_first_month,can_full_season,lon,lat
248,50Kempenaers1997,Parus_caeruleus,1990,3,6,1,1,4.47,51.25
249,50Kempenaers1997,Parus_caeruleus,1991,3,6,1,1,4.47,51.25
250,50Kempenaers1997,Parus_caeruleus,1992,3,6,1,1,4.47,51.25
251,50Kempenaers1997,Parus_caeruleus,1993,3,6,1,1,4.47,51.25
252,76Krokene1998,Parus_caeruleus,1992,4,7,1,1,9.6,58.87
253,76Krokene1998,Parus_caeruleus,1993,4,7,1,1,9.6,58.87
254,76Krokene1998,Parus_caeruleus,1994,4,7,1,1,9.6,58.87
255,256Kawano2009,Parus_major,1999,,,0,0,130.03,33.52
256,256Kawano2009,Parus_major,2000,,,0,0,130.03,33.52
257,76Krokene1998,Parus_major,1992,4,7,1,1,9.6,58.87
258,76Krokene1998,Parus_major,1993,4,7,1,1,9.6,58.87
259,76Krokene1998,Parus_major,1994,4,7,1,1,9.6,58.87
260,76Krokene1998,Parus_major,1995,4,7,1,1,9.6,58.87
261,433Strohbach1998,Parus_major,1993,3,6,1,1,7.65,51.42
262,433Strohbach1998,Parus_major,1994,3,6,1,1,7.65,51.42
263,458Yuta2016,Parus_major,2009,5,7,1,1,141.6,42.67
264,458Yuta2016,Parus_major,2010,5,7,1,1,141.6,42.67
265,231Yin2014,Parus_varius,2009,3,7,1,1,122.93,40.02
266,231Yin2014,Parus_varius,2010,3,7,1,1,122.93,40.02
267,231Yin2014,Parus_varius,2011,3,7,1,1,122.93,40.02
268,63Bichet2014,Passer_domesticus,2009,4,6,1,1,-2.87,47.33
269,63Bichet2014,Passer_domesticus,2010,4,6,1,1,-2.87,47.33
270,63Bichet2014,Passer_domesticus,2011,4,6,1,1,-2.87,47.33
271,406Griffith1999,Passer_domesticus,1995,4,7,1,1,-4,51
272,406Griffith1999,Passer_domesticus,1996,4,7,1,1,-4,51
273,406Griffith1999,Passer_domesticus,1995,3,8,1,1,-83.2,35.7
274,406Griffith1999,Passer_domesticus,1996,3,8,1,1,-83.2,35.7
275,464Ferretti2016,Tachycineta_meyeni,2006,10,1,1,1,-68.2,-54.73
276,464Ferretti2016,Tachycineta_meyeni,2007,10,1,1,1,-68.2,-54.73
277,464Ferretti2016,Tachycineta_meyeni,2008,10,1,1,1,-68.2,-54.73
278,464Ferretti2016,Tachycineta_meyeni,2009,10,1,1,1,-68.2,-54.73
279,405Griffith2010,Taeniopygia_guttata,2005,8,12,1,1,142.7,-31.08
280,405Griffith2010,Taeniopygia_guttata,2006,8,12,1,1,142.7,-31.08
281,405Griffith2010,Taeniopygia_guttata,2007,8,12,1,1,142.7,-31.08
282,447Burg2006,Thalassarche_chrysostoma,1998,10,10,1,1,-38,-54
283,447Burg2006,Thalassarche_chrysostoma,1999,10,10,1,1,-38,-54
284,447Burg2006,Thalassarche_melanophrys,1998,10,11,1,1,-38,-54
285,447Burg2006,Thalassarche_melanophrys,1999,10,11,1,1,-38,-54
286,157Cramer2011,Thryothorus_pleurostictus,2002,4,8,1,1,-85.5,10.67
287,157Cramer2011,Thryothorus_pleurostictus,2003,4,8,1,1,-85.5,10.67
288,157Cramer2011,Thryothorus_pleurostictus,2004,4,8,1,1,-85.5,10.67
289,157Cramer2011,Thryothorus_pleurostictus,2005,4,8,1,1,-85.5,10.67
290,47Stutchbury1998,Turdus_grayi,1994,1,3,1,1,-79.7,9.12
291,47Stutchbury1998,Turdus_grayi,1995,1,3,1,1,-79.7,9.12
292,140Roeder2016,Tyrannus_forficatus,2008,4,8,1,1,-98.48,34.77
293,140Roeder2016,Tyrannus_forficatus,2009,4,8,1,1,-98.48,34.77
294,140Roeder2016,Tyrannus_forficatus,2010,4,8,1,1,-98.48,34.77
295,140Roeder2016,Tyrannus_forficatus,2011,4,8,1,1,-98.48,34.77
296,1Dolan2000,Tyrannus_tyrannus,2002,5,8,1,1,-119,43
297,1Dolan2000,Tyrannus_tyrannus,2003,5,8,1,1,-119,43
298,1Dolan2000,Tyrannus_tyrannus,2004,5,8,1,1,-119,43
299,288Manica2016,Volatinia_jacarina,2008,10,2,1,1,-47.93,-15.93
300,288Manica2016,Volatinia_jacarina,2009,10,2,1,1,-47.93,-15.93
301,288Manica2016,Volatinia_jacarina,2010,10,2,1,1,-47.93,-15.93
302,143MacDougall-Shackleton2002,Zonotrichia_leucophrys,1997,5,8,1,1,-119.03,38.57
303,143MacDougall-Shackleton2002,Zonotrichia_leucophrys,1998,5,8,1,1,-119.03,38.57
304,143MacDougall-Shackleton2002,Zonotrichia_leucophrys,1999,5,8,1,1,-119.03,38.57
305,30Poesel2011,Zonotrichia_leucophrys,2005,3,6,1,1,-124.41,43.16
306,30Poesel2011,Zonotrichia_leucophrys,2006,3,6,1,1,-124.41,43.16
307,30Poesel2011,Zonotrichia_leucophrys,2007,3,6,1,1,-124.41,43.16
308,51Leisler2000,Acrocephalus_paludicola,1993,5,8,1,1,22.67,53.33
309,51Leisler2000,Acrocephalus_paludicola,1994,5,8,1,1,22.67,53.33
310,51Leisler2000,Acrocephalus_paludicola,1997,5,8,1,1,22.67,53.33
311,289Oring1992,Actitis_macularius,1990,5,7,1,1,-94.42,47.17
312,289Oring1992,Actitis_macularius,1991,5,7,1,1,-94.42,47.17
313,438Li2000,Aphelocoma_ultramarina,1991,3,6,1,1,-109.25,31.92
314,438Li2000,Aphelocoma_ultramarina,1992,3,6,1,1,-109.25,31.92
315,438Li2000,Aphelocoma_ultramarina,1993,3,6,1,1,-109.25,31.92
316,438Li2000,Aphelocoma_ultramarina,1994,3,6,1,1,-109.25,31.92
317,438Li2000,Aphelocoma_ultramarina,1995,3,6,1,1,-109.25,31.92
318,438Li2000,Aphelocoma_ultramarina,1996,3,6,1,1,-109.25,31.92
