"epp_row_id","latitude","longitude","year","first_month"
"373","35","-83","1995","3"
"374","35","-83","1996","3"
"375","35","-83","2004","5"
"377","48.17","16.3","1999","3"
"379","53.07","-0.95","1985","3"
"380","53.07","-0.95","1986","3"
"381","53.07","-0.95","1987","3"
"382","53.07","-0.95","1988","3"
"383","53.07","-0.95","1989","3"
"384","35.2","-97.43","1994","3"
"385","35.2","-97.43","1995","3"
"386","35.2","-97.43","1996","3"
"387","46.25","20.13","2006","3"
"390","35.88","-79.02","1986","5"
"400","-46.9","168.1","2001","9"
"401","-46.9","168.1","2002","9"
"402","-46.9","168.1","2003","9"
"403","-46.9","168.1","2004","9"
"404","-46.9","168.1","2005","9"
"405","-46.9","168.1","2006","9"
"406","-1.38","-89.62","1996","4"
"407","-1.38","-89.62","2000","3"
"408","-1.38","-89.62","2001","3"
"409","-1.38","-89.62","2002","3"
"410","62.47","11.8","2002","5"
"411","62.47","11.8","2006","5"
"412","61.42","8.87","1993","5"
"413","56.92","18.12","1992","4"
"414","56.92","18.12","1993","4"
"418","78.22","15.63","1999","4"
"419","78.22","15.63","2000","4"
"420","78.22","15.63","2001","4"
"421","78.22","15.63","2002","4"
"422","78.22","15.63","2003","4"
"423","71.29","-156.8","2004","6"
"424","71.29","-156.8","2005","6"
"425","71.29","-156.8","2006","6"
"426","71.29","-156.8","2007","6"
"427","71.29","-156.8","2008","6"
"428","71.29","-156.8","2009","6"
"429","-15.55","128","2008","3"
"430","-15.55","128","2009","3"
"431","-15.55","128","2010","3"
"433","-74.35","165.13","1998","11"
"437","-35.45","149.28","2002","9"
"438","-35.45","149.28","2003","9"
"439","-35.45","149.28","2004","9"
"440","48.3","21.08","2002","5"
"441","41.77","-79.93","2002","5"
"442","41.77","-79.93","2003","5"
"443","45.07","-67.03","1987","5"
"444","45.07","-67.03","1988","5"
"445","45.07","-67.03","1989","5"
"446","-15.37","-75.2","1995","3"
"448","53.52","8.08","1999","4"
"449","46","6","2004","1"
"450","40.5","-4","1996","4"
"451","40.5","-4","1997","4"
"457","21.87","-105.9","2011","2"
"459","9.17","-79.85","1996","1"
"460","44.57","-76.32","1993","4"
"461","44.7","-76.2","1992","6"
"462","44.7","-76.2","1992","6"
"465","44.58","-66.77","1993","5"
"471","53","-123","2004","5"
"472","-34.35","139.4833","2012","9"
"473","-34.35","139.4833","2013","9"
"474","-34.35","139.4833","2014","9"
"475","-34.35","139.4833","2015","9"
"476","40.75","-3.7833","2004","3"
"477","40.75","-3.7833","2005","3"
"478","40.75","-3.7833","2006","3"
"479","34.74","-98.67","2008","4"
"480","34.74","-98.67","2009","4"
"481","34.74","-98.67","2010","4"
"482","34.74","-98.67","2011","4"
"483","34.74","-98.67","2012","4"
"484","34.74","-98.67","2013","4"
"485","34.74","-98.67","2014","4"
"486","61.4167","8.8667","2013","5"
"487","61.4167","8.8667","2014","5"
"488","61.4167","8.8667","2015","5"
"489","34.75","-98.5833","2009","4"
"490","34.75","-98.5833","2010","4"
"491","34.75","-98.5833","2011","4"
"492","34.75","-98.5833","2012","4"
"493","34.75","-98.5833","2013","4"
"494","34.75","-98.5833","2014","4"
"495","40.9","-4.0167","2013","4"
"496","39.2311","-75.9819","2005","4"
"497","39.2311","-75.9819","2006","4"
"498","39.2311","-75.9819","2007","4"
