population_id,n_records,n_references,id_references
Taeniopygia_guttata_-31.08_142.7,3,1,405Griffith2010
Thalassarche_chrysostoma_-54_-38,2,1,447Burg2006
Thalassarche_melanophrys_-54_-38,2,1,447Burg2006
Thalassoica_antarctica_-71.88_5.17,1,1,421 Lorentsen2000
Thryothorus_pleurostictus_10.67_-85.5,4,1,157Cramer2011
Troglodytes_aedon_42.47_-76.45,1,1,573LaBarbera2017
Turdus_grayi_9.12_-79.7,2,1,47Stutchbury1998
Tyrannus_forficatus_34.74_-98.67,7,1,648Roeder2019
Tyrannus_forficatus_34.75_-98.58,3,1,507Roeder2022
Tyrannus_forficatus_34.77_-98.48,4,1,140Roeder2016
Tyrannus_tyrannus_43_-119,3,1,1Dolan2000
Upupa_epops_37_-3,1,1,321Martín-Vivaldi2002
Upupa_epops_46.33_7.67,1,1,242Berthier2012
Vermivora_chrysoptera_44.57_-76.32,1,1,418Harper2010
Volatinia_jacarina_-15.93_-47.93,3,1,288Manica2016
Volatinia_jacarina_-15.95_-47.93,1,1,61Carvalho2006
Zonotrichia_capensis_-0.12_-77.92,1,1,71Eikenaar2013
Zonotrichia_capensis_-0.35_-78.15,1,1,71Eikenaar2013
Zonotrichia_leucophrys_38.57_-119.03,3,1,143MacDougall-Shackleton2002
Zonotrichia_leucophrys_43.16_-124.41,3,1,30Poesel2011
