"location_id","lat","long","stored_distance_to_coast_km","reconstructed_distance_to_coast_km","difference_km","absolute_difference_km"
148,-27.33,152.55,58.01668893,58.0166889290227,-9.77266267909727e-10,9.77266267909727e-10
149,60.83,25.33,52.23751643,52.2375164302812,2.81247025668563e-10,2.81247025668563e-10
150,35.88,-106.03,833.9783859,833.978385898119,-1.88117610377958e-09,1.88117610377958e-09
151,70.2,-148.25,13.57185445,13.5718544481834,-1.81659665088318e-09,1.81659665088318e-09
152,-34.35,139.5,103.0742666,103.074266609931,9.93063054011145e-09,9.93063054011145e-09
153,-0.37,36.08,527.6824721,527.6824720863,-1.37002871269942e-08,1.37002871269942e-08
154,36.71,-112.22,586.8457102,586.845710238975,3.89745764550753e-08,3.89745764550753e-08
155,35,-83,349.0081931,349.008193126586,2.65862922788074e-08,2.65862922788074e-08
156,48.17,16.3,335.0023284,335.002328418579,1.85793851414928e-08,1.85793851414928e-08
157,40.63,-4,310.7255422,310.725542249985,4.99850898449949e-08,4.99850898449949e-08
158,35.2,-97.43,651.636476,651.636475990547,-9.45294686971465e-09,9.45294686971465e-09
159,46.25,20.13,407.0341806,407.03418060513,5.13023223902564e-09,5.13023223902564e-09
160,44.58,-66.77,9.624771397,9.62477139693558,-6.44160280671713e-11,6.44160280671713e-11
161,35.88,-79.02,183.0311017,183.031101665845,-3.41548798132862e-08,3.41548798132862e-08
162,-47,168,8.177279832,8.17727983232095,3.2094504831548e-10,3.2094504831548e-10
163,-45,168,37.96320147,37.9632014719187,1.91870697108243e-09,1.91870697108243e-09
164,-34.37,119.6,12.00206848,12.0020684776604,-2.33962360596252e-09,2.33962360596252e-09
165,56.18,-2.57,10.33981175,10.3398117533636,3.36361516417583e-09,3.36361516417583e-09
166,-46.9,168.1,0.444295349,0.444295348887445,-1.12554798814557e-10,1.12554798814557e-10
167,-1.38,-89.62,48.44828086,48.4482808576646,-2.33541896932365e-09,2.33541896932365e-09
168,62.47,11.8,122.1094153,122.109415335998,3.59977718744631e-08,3.59977718744631e-08
169,56.92,18.12,1.602429693,1.60242969338877,3.88772791737324e-10,3.88772791737324e-10
170,45.5,-122.68,83.88516695,83.8851669527512,2.75122147286311e-09,2.75122147286311e-09
171,78.22,15.63,1.052022379,1.05202237870516,-2.94838820025234e-10,2.94838820025234e-10
172,71.29,-156.8,1.334475304,1.33447530436807,3.6806735437267e-10,3.6806735437267e-10
173,-15.55,128,25.64468524,25.6446852360321,-3.96793353729663e-09,3.96793353729663e-09
174,-74.35,165.13,0.750644369,0.750644369090428,9.04278874003239e-11,9.04278874003239e-11
175,-63,-60.67,0.263190679,0.263190678764744,-2.35256258918071e-10,2.35256258918071e-10
176,-21.08,31.92,297.3046009,297.304600945804,4.58043132312014e-08,4.58043132312014e-08
177,42.42,70.48,1315.49426,1315.49425964217,-3.57828412234085e-07,3.57828412234085e-07
178,-35.45,149.28,93.06248173,93.0624817264173,-3.58268437139486e-09,3.58268437139486e-09
179,48.3,21.08,594.3113191,594.31131905866,-4.13398311138735e-08,4.13398311138735e-08
180,45.07,-67.03,5.301361207,5.30136120689767,-1.02327035733651e-10,1.02327035733651e-10
181,-15.37,-75.2,4.476725517,4.47672551691238,-8.76241301739356e-11,8.76241301739356e-11
182,51.45,-105.17,1006.602574,1006.60257449584,4.95837298331026e-07,4.95837298331026e-07
183,53.52,8.08,4.141813893,4.14181389307218,7.21831483474489e-11,7.21831483474489e-11
184,46,6,271.7037815,271.703781543488,4.34883418165555e-08,4.34883418165555e-08
185,40.5,-4,325.1351294,325.135129372539,-2.74608851213998e-08,2.74608851213998e-08
186,46.52,6.57,286.9391225,286.93912253623,3.62297214451246e-08,3.62297214451246e-08
187,51.22,4.67,35.98133189,35.9813318941305,4.13045597724704e-09,4.13045597724704e-09
188,-1.33,-89.67,44.5345827,44.5345826962265,-3.77352904479267e-09,3.77352904479267e-09
189,21.87,-105.9,29.01875639,29.0187563886452,-1.35478117613275e-09,1.35478117613275e-09
190,9.17,-79.85,22.41573427,22.41573427457,4.57001902987031e-09,4.57001902987031e-09
191,44.7,-76.2,122.301621,122.301620951048,-4.89521170266016e-08,4.89521170266016e-08
192,45,-74,26.66288898,26.6628889792927,-7.07267133748246e-10,7.07267133748246e-10
193,53,-123,266.5895378,266.589537818284,1.82839698936732e-08,1.82839698936732e-08
194,-34.35,139.4833,101.6624523,101.662452325513,2.55133443261002e-08,2.55133443261002e-08
195,40.75,-3.7833,297.7968912,297.796891212859,1.28593455883674e-08,1.28593455883674e-08
